,Change_Perc,Close,Forecast,High_Low_Change,Price_After_Month,Volume
2014-12-30,-0.7085020242915008,9.81,,2.752293577981647,9.74,222987.0
2014-12-31,1.425661914460291,9.96,,1.405622489959827,9.53,277594.0
2015-01-02,-1.3000000000000078,9.87,,1.4184397163120626,9.12,268967.0
2015-01-05,-3.2753326509723673,9.45,,4.550264550264567,8.91,374579.0
2015-01-06,0.9564293304994672,9.5,,0.8421052631578954,8.74,174220.0
2015-01-07,2.9197080291970736,9.87,,0.4052684903748828,8.8,247139.0
2015-01-08,0.8097165991902842,9.96,,1.9076305220883483,8.56,1188732.0
2015-01-09,0.30241935483870325,9.95,,0.8040201005025134,8.6,236961.0
2015-01-12,-0.39999999999999153,9.96,,0.7028112449799047,8.63,479946.0
2015-01-13,1.3265306122448877,9.93,,2.2155085599194426,8.68,426202.0
2015-01-14,1.3224821973550436,9.96,,0.40160642570280264,8.93,238328.0
2015-01-15,-7.007007007007017,9.29,,7.5349838536060405,8.67,449881.0
2015-01-16,0.8639308855291584,9.34,,2.8907922912205524,8.58,311889.0
2015-01-20,-1.6913319238900648,9.3,,3.2258064516128915,8.6,119282.0
2015-01-21,-1.8358531317494593,9.09,,1.980198019801977,8.96,214931.0
2015-01-22,1.4254385964912368,9.25,,0.10810810810810581,8.76,309823.0
2015-01-23,0.21598272138228483,9.28,,0.969827586206895,8.92,191102.0
2015-01-26,-0.3243243243243174,9.22,,0.5422993492407693,8.41,155537.0
2015-01-27,-0.8771929824561412,9.04,,2.765486725663717,8.78,97232.0
2015-01-28,-3.289473684210515,8.82,,3.401360544217675,8.92,267076.0
2015-01-29,2.188940092165893,8.87,,0.4509582863585223,8.74,188721.0
2015-01-30,-0.3409090909091038,8.77,,3.648802736602056,8.79,142450.0
2015-02-02,1.1415525114155212,8.86,,0.45146726862303527,8.87,108676.0
2015-02-03,-0.44843049327353307,8.88,,2.477477477477464,8.89,102656.0
2015-02-04,3.2768361581921006,9.14,,0.8752735229759306,8.8,133027.0
2015-02-05,2.1715526601520008,9.41,,0.3188097768331494,9.0,270794.0
2015-02-06,-1.7039403620873286,9.23,,2.3835319609967374,8.97,103204.0
2015-02-09,1.6077170418006468,9.48,,0.21097046413501658,9.06,147097.0
2015-02-10,-1.2631578947368338,9.38,,2.3454157782515868,8.76,107624.0
2015-02-11,-1.490947816826417,9.25,,1.837837837837837,8.83,106418.0
2015-02-12,3.837953091684428,9.74,,0.5133470225872581,9.08,558722.0
2015-02-13,-1.4477766287487133,9.53,,4.721930745015751,9.18,1116494.0
2015-02-17,-4.302203567681009,9.12,,4.714912280701771,9.26,325722.0
2015-02-18,1.7123287671232919,8.91,,2.24466891133557,9.13,1102143.0
2015-02-19,-0.3420752565564351,8.74,,2.1739130434782554,8.97,266141.0
2015-02-20,0.4566210045662206,8.8,,0.568181818181806,8.87,226323.0
2015-02-23,-0.23310023310022812,8.56,,1.5186915887850352,8.93,243678.0
2015-02-24,0.8206330597889835,8.6,,1.5116279069767533,9.0,154191.0
2015-02-25,0.7001166861143582,8.63,,1.6222479721900207,9.02,257227.0
2015-02-26,1.8779342723004713,8.68,,1.15207373271889,9.29,162176.0
2015-02-27,2.290950744558984,8.93,,0.7838745800671924,9.17,458990.0
2015-03-02,-2.3648648648648742,8.67,,2.6528258362168446,9.0,509587.0
2015-03-03,-0.3484320557491215,8.58,,0.6993006993007052,9.29,180259.0
2015-03-04,0.23310023310022812,8.6,,0.5813953488372177,9.62,294299.0
2015-03-05,4.1860465116279215,8.96,,0.11160714285714046,9.6,517989.0
2015-03-06,-1.5730337078651748,8.76,,2.3972602739726128,9.45,334046.0
2015-03-09,2.0594965675057177,8.92,,0.0,9.57,401786.0
2015-03-10,0.1190476190476165,8.41,,3.5671819262782485,9.5,795242.0
2015-03-11,4.028436018957344,8.78,,1.1389521640091278,7.11,341869.0
2015-03-12,1.478953356086471,8.92,,0.448430493273553,6.98,520638.0
2015-03-13,-2.1276595744680793,8.74,,2.860411899313501,6.14,278536.0
2015-03-16,-0.1136363636363814,8.79,,1.478953356086471,6.12,366818.0
2015-03-17,1.1402508551881374,8.87,,0.4509582863585223,6.0,363392.0
2015-03-18,0.3386004514672815,8.89,,0.1124859392575904,6.02,269361.0
2015-03-19,-0.5649717514124173,8.8,,1.8181818181818195,6.65,337523.0
2015-03-20,1.2373453318335144,9.0,,0.0,6.13,1790950.0
2015-03-23,0.7865168539325874,8.97,,0.7803790412485898,6.18,435016.0
2015-03-24,1.0033444816053494,9.06,,0.8830022075055195,6.11,385965.0
2015-03-25,-3.417861080485121,8.76,,3.8812785388127837,6.0,407818.0
2015-03-26,-1.670378619153679,8.83,,3.057757644394106,5.96,534240.0
2015-03-27,2.483069977426644,9.08,,0.11013215859030602,6.2,515082.0
2015-03-30,0.6578947368421107,9.18,,0.21786492374727207,6.6,200879.0
2015-03-31,1.2021857923497203,9.26,,0.4319654427645888,6.47,290730.0
2015-04-01,-1.297297297297289,9.13,,1.3143483023001008,6.26,568134.0
2015-04-02,-1.967213114754095,8.97,,2.006688963210699,6.31,206652.0
2015-04-06,-0.7829977628635378,8.87,,1.3528748590755468,6.27,273740.0
2015-04-07,0.9039548022598879,8.93,,1.0078387458006703,6.33,206613.0
2015-04-08,0.44642857142856185,9.0,,0.777777777777781,6.14,186671.0
2015-04-09,0.11098779134294992,9.02,,1.8847006651884695,6.08,245565.0
2015-04-10,3.2222222222222126,9.29,,0.645855758880522,6.02,670391.0
2015-04-13,-1.0787486515641818,9.17,,3.1624863685932487,6.01,192688.0
2015-04-14,-2.173913043478253,9.0,,2.6666666666666687,6.05,189332.0
2015-04-15,2.765486725663717,9.29,,0.645855758880522,6.19,340791.0
2015-04-16,3.4408602150537475,9.62,,0.623700623700629,6.02,368465.0
2015-04-17,0.5235602094240727,9.6,,0.5208333333333408,6.03,270521.0
2015-04-20,-2.1739130434782696,9.45,,2.222222222222231,6.04,170055.0
2015-04-21,0.8429926238145424,9.57,,0.3134796238244447,6.05,157388.0
2015-04-22,-0.835073068893529,9.5,,1.6842105263157907,6.06,415643.0
2015-04-23,16.557377049180342,7.11,,5.485232067510544,6.11,6802483.0
2015-04-24,-5.6756756756756745,6.98,,6.303724928366755,5.97,1479020.0
